decall;dxcall;freq;band;S/N;datetime;country;continent;mode;decontinent;dxcontinent;de_country;skimmode
DJ9IE;F6HKA;3523.0;80M;42;2018-03-24 05:55;;CW;;;;CQ
M0ORD;ES100R;7032.0;40M;2;2018-03-24 05:55;;CW;;;;CQ
SE0X;UN7NFD;14013.1;20M;10;2018-03-24 05:55;;CW;;;;CQ
AA4VV;F6HKA;3523.0;80M;17;2018-03-24 05:55;;CW;;;;CQ
KH6LC;K5KG;3525.1;80M;12;2018-03-24 05:55;;CW;;;;CQ
DL9GTB;UN7NFD;14013.0;20M;4;2018-03-24 05:55;;CW;;;;CQ
DL8LAS;IZ2BZT;7009.6;40M;22;2018-03-24 05:55;;CW;;;;CQ
M0VSE;IZ2BZT;7009.6;40M;18;2018-03-24 05:55;;CW;;;;CQ
EA5WU;IZ2BZT;7009.6;40M;22;2018-03-24 05:55;;CW;;;;CQ
VK4CT;VK3FRC;14020.0;20M;29;2018-03-24 05:55;;CW;;;;CQ
SM6FMB;IZ2BZT;7009.7;40M;6;2018-03-24 05:55;;CW;;;;CQ
HB9DCO;F6HKA;3523.0;80M;29;2018-03-24 05:55;;CW;;;;CQ
CT1BOH;F6HKA;3523.0;80M;19;2018-03-24 05:55;;CW;;;;CQ
KM3T2;IT9CIL;7074.0;40M;15;2018-03-24 05:55;;null;;;;CQ
HA6PX;IZ2BZT;7009.6;40M;16;2018-03-24 05:55;;CW;;;;CQ
DL4RCK;IT9ACJ;14071.4;20M;19;2018-03-24 05:55;;PSK31;;;;CQ
SM7IUN;IZ2BZT;7009.6;40M;7;2018-03-24 05:55;;CW;;;;CQ
SM7IUN;F6HKA;3523.0;80M;21;2018-03-24 05:55;;CW;;;;CQ
JJ2VLY;VK3FRC;14020.0;20M;7;2018-03-24 05:55;;CW;;;;CQ
WZ7I;G1IPU;7074.0;40M;12;2018-03-24 05:55;;null;;;;CQ
WZ7I;E76C;3573.0;80M;-9;2018-03-24 05:55;;null;;;;CQ
W4KAZ;G4RCG;3524.0;80M;19;2018-03-24 05:55;;CW;;;;CQ
W3OA;EA3NW;3573.0;80M;-9;2018-03-24 05:55;;null;;;;CQ
KM3T2;PY7DJ;10136.0;30M;-5;2018-03-24 05:55;;null;;;;CQ
EA5WU;YR100U;7023.8;40M;11;2018-03-24 05:55;;CW;;;;CQ
VE6AO;K5KG;3525.1;80M;4;2018-03-24 05:55;;CW;;;;CQ
CT1BOH;YR100U;7023.8;40M;6;2018-03-24 05:55;;CW;;;;CQ
W8WWV;G4RCG;3524.1;80M;11;2018-03-24 05:55;;CW;;;;CQ
SM7IUN;YR100U;7023.8;40M;8;2018-03-24 05:55;;CW;;;;CQ
W3LPL;F6HKA;3523.0;80M;15;2018-03-24 05:55;;CW;;;;CQ
W4KAZ;F6HKA;3523.0;80M;19;2018-03-24 05:55;;CW;;;;CQ
GW8IZR;F6HKA;3523.0;80M;40;2018-03-24 05:55;;CW;;;;CQ
M0ORD;YR100U;7023.8;40M;2;2018-03-24 05:55;;CW;;;;CQ
OE6TZE;F6HKA;3523.0;80M;18;2018-03-24 05:55;;CW;;;;CQ
S50ARX;F6HKA;3523.0;80M;29;2018-03-24 05:55;;CW;;;;CQ
KM3T1;F6HKA;3523.0;80M;14;2018-03-24 05:55;;CW;;;;CQ
S50U;F6HKA;3523.0;80M;12;2018-03-24 05:55;;CW;;;;CQ
HA6PX;YO4VM;7020.2;40M;12;2018-03-24 05:55;;CW;;;;CQ
DL4RCK;UR4MSF;14070.8;20M;45;2018-03-24 05:55;;PSK31;;;;CQ
HB9JCB;YO4VM;7020.3;40M;3;2018-03-24 05:55;;CW;;;;CQ
OL7M;YO4VM;7020.2;40M;14;2018-03-24 05:55;;CW;;;;CQ
9A1CIG;YO4VM;7020.2;40M;26;2018-03-24 05:55;;CW;;;;CQ
W1NT;F6HKA;3523.0;80M;28;2018-03-24 05:55;;CW;;;;CQ
W1NT;K5KG;3525.1;80M;32;2018-03-24 05:55;;CW;;;;CQ
W1NT;G4RCG;3524.0;80M;33;2018-03-24 05:55;;CW;;;;CQ
DO4DXA;YO4VM;7020.3;40M;11;2018-03-24 05:55;;CW;;;;CQ
W1NT2;K5KG;3525.0;80M;36;2018-03-24 05:55;;CW;;;;CQ
SE0X;YO4VM;7020.3;40M;9;2018-03-24 05:55;;CW;;;;CQ
OE6TZE;UT1DI;7018.7;40M;14;2018-03-24 05:55;;CW;;;;CQ
DL8LAS;YO4VM;7020.3;40M;8;2018-03-24 05:55;;CW;;;;CQ
F4KJI;G4RCG;3524.0;80M;24;2018-03-24 05:55;;CW;;;;CQ
DL9GTB;4X6TU;21150.1;15M;10;2018-03-24 06:02;;CW;;;;null
HB9DQM;YR100U;7023.9;40M;18;2018-03-24 06:02;;CW;;;;CQ
S50ARX;YR100U;7023.9;40M;27;2018-03-24 06:02;;CW;;;;CQ
HB9BXE;YR100U;7023.9;40M;23;2018-03-24 06:02;;CW;;;;CQ
HB9DCO;YR100U;7023.9;40M;15;2018-03-24 06:02;;CW;;;;CQ
S50U;DK4LX;3529.0;80M;13;2018-03-24 06:02;;CW;;;;CQ
OH6BG;YR100U;7023.9;40M;23;2018-03-24 06:02;;CW;;;;CQ
OL7M;YR100U;7023.8;40M;32;2018-03-24 06:02;;CW;;;;CQ
OL7M;DL4CF;3526.0;80M;39;2018-03-24 06:02;;CW;;;;CQ
WZ7I;ON3ML;7074.0;40M;21;2018-03-24 06:04;;null;;;;CQ
