decall;dxcall;freq;band;S/N;datetime;country;continent;mode;decontinent;dxcontinent;de_country;skimmode
SZ1A;S52R;7022.6;40M;36;2019-12-03 15:44;;CW;;;;CQ
NC7J;C6AGU;14019.0;20M;7;2019-12-03 15:44;;CW;;;;CQ
OH4KA;S52R;7022.6;40M;23;2019-12-03 15:44;;CW;;;;CQ
HG2EWS;DL0AA;7022.2;40M;16;2019-12-03 15:44;;CW;;;;CQ
IT9GSF;EA8/IK1PMR;21019.8;15M;6;2019-12-03 15:44;;CW;;;;CQ
N9YKE;K7TQ;14056.4;20M;14;2019-12-03 15:44;;CW;;;;CQ
EA8BFK;ZS6CNC;14053.7;20M;26;2019-12-03 15:44;;CW;;;;CQ
EA5WU;ZS6CNC;14053.7;20M;10;2019-12-03 15:44;;CW;;;;CQ
EA5WU;S52R;7022.6;40M;27;2019-12-03 15:44;;CW;;;;CQ
N0OI;K7TQ;14056.6;20M;23;2019-12-03 15:44;;CW;;;;CQ
TF3Y;ZS6CNC;14053.7;20M;13;2019-12-03 15:44;;CW;;;;CQ
TF3Y;DL0AA;7022.1;40M;8;2019-12-03 15:44;;CW;;;;CQ
LZ7AA;EA8JK;14071.2;20M;15;2019-12-03 15:44;;PSK31;;;;CQ
SE5E;S52R;7022.6;40M;16;2019-12-03 15:44;;CW;;;;CQ
VE6JY;ZS6CNC;14053.7;20M;8;2019-12-03 15:44;;CW;;;;CQ
VE6JY;K7TQ;14056.5;20M;26;2019-12-03 15:44;;CW;;;;CQ
W2MV;VE2PID;7032.0;40M;32;2019-12-03 15:44;;CW;;;;CQ
KO7SS2;K7TQ;14056.5;20M;36;2019-12-03 15:44;;CW;;;;CQ
R1LB;DL0AA;7022.1;40M;13;2019-12-03 15:44;;CW;;;;CQ
R1LB;S52R;7022.6;40M;7;2019-12-03 15:44;;CW;;;;CQ
ON6ZQ;S52R;7022.6;40M;17;2019-12-03 15:44;;CW;;;;CQ
HB9DQM;OK1DOZ;7026.5;40M;23;2019-12-03 15:44;;CW;;;;CQ
SV8RV;S52R;7022.6;40M;4;2019-12-03 15:44;;CW;;;;CQ
SM7IUN;ZS6CNC;14053.7;20M;10;2019-12-03 15:44;;CW;;;;CQ
DL3DTH;G3IGU;7024.6;40M;31;2019-12-03 15:44;;CW;;;;CQ
DK0TE;G3IGU;7024.7;40M;4;2019-12-03 15:44;;CW;;;;CQ
OE6TZE;G3IGU;7024.7;40M;13;2019-12-03 15:44;;CW;;;;CQ
HB9JCB;UG5F;7036.0;40M;21;2019-12-03 15:44;;CW;;;;CQ
HB9JCB;G3IGU;7024.7;40M;18;2019-12-03 15:44;;CW;;;;CQ
F6IIT;ON4YOTA;7032.1;40M;19;2019-12-03 15:44;;CW;;;;CQ
OH6BG;G3IGU;7024.7;40M;27;2019-12-03 15:44;;CW;;;;CQ
K9TM4;K7TQ;14056.5;20M;21;2019-12-03 15:44;;CW;;;;CQ
W2LB;VE2PID;7031.9;40M;20;2019-12-03 15:44;;CW;;;;CQ
HA1VHF;UG5F;7036.0;40M;16;2019-12-03 15:44;;CW;;;;CQ
HA1VHF;G3IGU;7024.6;40M;22;2019-12-03 15:44;;CW;;;;CQ
WA7LNW;KV0I;14020.9;20M;6;2019-12-03 15:44;;CW;;;;CQ
OE9GHV;KV0I;14020.7;20M;7;2019-12-03 15:44;;CW;;;;CQ
DL1RNN;UG5F;7036.1;40M;14;2019-12-03 15:44;;CW;;;;CQ
N6WIN;KV0I;14020.7;20M;8;2019-12-03 15:44;;CW;;;;CQ
LZ4UX;4O4T;7001.1;40M;3;2019-12-03 15:44;;CW;;;;CQ
TF4M;G3IGU;7024.6;40M;31;2019-12-03 15:44;;CW;;;;CQ
TF4M;IK2CLB;7003.9;40M;51;2019-12-03 15:44;;CW;;;;CQ
W4AX;KV0I;14020.8;20M;4;2019-12-03 15:44;;CW;;;;CQ
OH4KA;G3IGU;7024.6;40M;17;2019-12-03 15:44;;CW;;;;CQ
OL7M;ZS6CNC;14053.7;20M;18;2019-12-03 15:44;;CW;;;;CQ
OL7M;IK2CLB;7003.9;40M;21;2019-12-03 15:44;;CW;;;;CQ
K3PA;KV0I;14020.8;20M;25;2019-12-03 15:44;;CW;;;;CQ
K3LR;ZS6CNC;14053.7;20M;14;2019-12-03 15:44;;CW;;;;CQ
DL8LAS;IK2CLB;7003.9;40M;14;2019-12-03 15:44;;CW;;;;CQ
HG2EWS;UG5F;7036.0;40M;16;2019-12-03 15:44;;CW;;;;CQ
DK3UA;IK2CLB;7003.9;40M;34;2019-12-03 15:44;;CW;;;;CQ
KM3T;ZS6CNC;14053.7;20M;9;2019-12-03 15:44;;CW;;;;CQ
IT9GSF;KV0I;14020.7;20M;9;2019-12-03 15:44;;CW;;;;CQ
AC0C;KV0I;14020.8;20M;28;2019-12-03 15:44;;CW;;;;CQ
N9YKE;KV0I;14020.7;20M;15;2019-12-03 15:44;;CW;;;;CQ
